epoch,ER,F1,dense_26_loss,dense_27_loss,dense_28_loss,loss
0,"""[0.54229934900551, 0.8757236584810021, 3.0609892141833437]""","""[0.538264821339852, 0.37566795805416997, 0.09257605981125382]""",0.9376271567118379,0.7239781442269249,0.7887216460166351,2.4503269431385197
1,"""[0.6429501081809328, 0.898494789309728, 2.8099665292636793]""","""[0.4929615368134848, 0.5050899342339569, 0.09359843387883422]""",0.6883261671333466,0.7022819079079582,0.7622755553260266,2.152883624539776
2,"""[0.6386117133888887, 0.8834426858805702, 2.9211602815466122]""","""[0.5001496784896259, 0.5298986051092341, 0.14562046195830866]""",0.6241943938109178,0.688531793751943,0.7375819946166923,2.05030818746184
3,"""[0.6885032534973956, 0.8714781934112397, 2.9501673473595513]""","""[0.4525681493832061, 0.5468979365718172, 0.18768092947733728]""",0.5924035732987406,0.6769931295587377,0.7140592928611599,1.9834559729877643
4,"""[0.6568329715154738, 0.8834426858805702, 2.8988471539981977]""","""[0.4842358866156256, 0.5441522702391498, 0.23263619693828]""",0.5730146372434137,0.6654751087816324,0.6915692512889533,1.9300590003129754
5,"""[0.6260303684919608, 0.906985719449253, 2.2941613974361617]""","""[0.5124847050329103, 0.5441951671920096, 0.3368377749678701]""",0.5531252288116326,0.6544346942296363,0.6699835245032663,1.87754345199188
6,"""[0.6199566157830991, 0.9135468927388859, 2.2967645956501435]""","""[0.5195725208251626, 0.554518480192198, 0.33817564690147267]""",0.5421061425498037,0.6439380506367736,0.6496312629160982,1.8356754547395047
7,"""[0.5904555311971994, 0.9579313002864025, 1.6690219406214126]""","""[0.542060993324657, 0.5532577686326785, 0.3447873949396604]""",0.5313906165584282,0.6344041246697179,0.6303715382118509,1.7961662808031678
8,"""[0.5934924075516302, 1.0015438050939622, 0.9676459646829134]""","""[0.5389699295428697, 0.5847996519048122, 0.41563060134497926]""",0.5241985217273541,0.624417412206062,0.6120356208532453,1.7606515594044025
9,"""[0.5718004335914099, 1.037437282501954, 0.7411677200665051]""","""[0.5566831318437555, 0.5967565924118727, 0.4570764547580787]""",0.5173743268876433,0.6154120245478779,0.5946966469662744,1.7274829916711396
10,"""[0.5535791754648247, 1.0694712462101617, 0.5570844177920846]""","""[0.5646085882338086, 0.6070913833905938, 0.4968582331452513]""",0.5143635548169849,0.6071109837842301,0.5785714986325673,1.7000460326841997
11,"""[0.5136659433780192, 1.1084523345779806, 0.48679806601457865]""","""[0.5906212297407197, 0.6065548436605908, 0.5892394765662502]""",0.506002597123163,0.5985200931304792,0.5631948924868907,1.6677175806616973
12,"""[0.5579175702568687, 1.003087610573876, 0.48679806601457865]""","""[0.5651687009540468, 0.632050156323812, 0.5892394765662502]""",0.5020518581685917,0.5910767982386398,0.5486306127921181,1.6417592668478798
13,"""[0.5652928414033437, 0.9328444612378061, 0.48679806601457865]""","""[0.5627628118177742, 0.6501343162010501, 0.5892394765662502]""",0.49647394885943236,0.5834224979968804,0.5350301970135082,1.614926640683409
14,"""[0.5140997828572236, 0.9625627167261434, 0.48679806601457865]""","""[0.5908726435735338, 0.6441803235146812, 0.5892394765662502]""",0.4960073038569309,0.5766788543872386,0.5222274999471308,1.5949136551071263
15,"""[0.5062906722315442, 0.8846005399905055, 0.48679806601457865]""","""[0.5967483416026385, 0.6609072614426067, 0.5892394765662502]""",0.49521923881384083,0.569376053334373,0.5102506654817354,1.5748459582604157
16,"""[0.5140997828572236, 0.6437668851239804, 0.48679806601457865]""","""[0.5919656968737489, 0.7198672729757304, 0.5892394765662502]""",0.4890288947104317,0.5625505869289069,0.49879782727406735,1.5503773156270222
17,"""[0.4906724509801855, 0.6186800460753841, 0.48679806601457865]""","""[0.6082896740019644, 0.726388833161445, 0.5892394765662502]""",0.48732231711577934,0.5566867185429616,0.4881908386656051,1.5321998793169591
18,"""[0.4997830800434781, 0.616750289225492, 0.48679806601457865]""","""[0.602245537724507, 0.7269407167222401, 0.5892394765662502]""",0.48708618905559276,0.550874279729975,0.47812258873482033,1.5160830555267508
19,"""[0.5127982644196103, 0.616750289225492, 0.48679806601457865]""","""[0.5940222690278361, 0.7269407167222401, 0.5892394765662502]""",0.48450501265697576,0.5446446646343578,0.4687627797095417,1.4979124658103669
20,"""[0.5154013012948367, 0.616750289225492, 0.48679806601457865]""","""[0.5932018614948599, 0.7269407167222401, 0.5892394765662502]""",0.4848976489337531,0.5396315051597347,0.45993788762730553,1.4844670356376435
21,"""[0.4984815616058649, 0.616750289225492, 0.48679806601457865]""","""[0.6034973016172923, 0.7269407167222401, 0.5892394765662502]""",0.4806371113107571,0.5344119874186486,0.45173770182469425,1.466786804098344
22,"""[0.48763557462575463, 0.616750289225492, 0.48679806601457865]""","""[0.6104931856395751, 0.7269407167222401, 0.5892394765662502]""",0.4817932971788857,0.5293173885740778,0.4440168909272717,1.4551275832234551
23,"""[0.524078090878925, 0.616750289225492, 0.48679806601457865]""","""[0.5882032808664817, 0.7269407167222401, 0.5892394765662502]""",0.47698045898124514,0.5239363412573517,0.43669114510218304,1.4376079417965357
24,"""[0.5006507590018869, 0.616750289225492, 0.48679806601457865]""","""[0.6013579322554533, 0.7269407167222401, 0.5892394765662502]""",0.47707791721023374,0.5192920067366223,0.4298921408586464,1.426262051736102
25,"""[0.5444685464015321, 0.616750289225492, 0.48679806601457865]""","""[0.5761312219723345, 0.7269407167222401, 0.5892394765662502]""",0.46980549111374453,0.5150476381259349,0.42347997728588244,1.408333111518175
26,"""[0.48763557462575463, 0.616750289225492, 0.48679806601457865]""","""[0.6108089311247329, 0.7269407167222401, 0.5892394765662502]""",0.47381895959479525,0.51060139621715,0.41739487508285245,1.4018152338085752
27,"""[0.5023861169187045, 0.616750289225492, 0.48679806601457865]""","""[0.5997380828377186, 0.7269407167222401, 0.5892394765662502]""",0.4723461812874329,0.5064777669530381,0.41173636998497737,1.3905603163170093
28,"""[0.5184381776492676, 0.616750289225492, 0.48679806601457865]""","""[0.5897976120870616, 0.7269407167222401, 0.5892394765662502]""",0.47088389293748084,0.5020271327715046,0.40637128224640046,1.3792823163218468
